method,url,protocol,headers,body,label,attack_type
GET,/tienda1/miembros/imagenes/zarauz.jpg,http,"{'User-Agent': 'Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)', 'Pragma': 'no-cache', 'Cache-Control': 'no-cache', 'Accept': 'text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5', 'Accept-Encoding': 'x-gzip, x-deflate, gzip, deflate', 'Accept-Charset': 'utf-8, utf-8;q=0.5, *;q=0.5', 'Accept-Language': 'en', 'Host': 'localhost:8080', 'Cookie': 'JSESSIONID=5EF20A9DB83D271016C9797A8599E713', 'Connection': 'close'}",,benign,
GET,/tienda1/global/menum.jsp,http,"{'User-Agent': 'Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)', 'Pragma': 'no-cache', 'Cache-Control': 'no-cache', 'Accept': 'text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5', 'Accept-Encoding': 'x-gzip, x-deflate, gzip, deflate', 'Accept-Charset': 'utf-8, utf-8;q=0.5, *;q=0.5', 'Accept-Language': 'en', 'Host': 'localhost:8080', 'Cookie': 'JSESSIONID=E034328D23315584F05F982AB852C855', 'Connection': 'close'}",,benign,
GET,/tienda1/miembros/imagenes/zarauz.jpg,http,"{'User-Agent': 'Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)', 'Pragma': 'no-cache', 'Cache-Control': 'no-cache', 'Accept': 'text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5', 'Accept-Encoding': 'x-gzip, x-deflate, gzip, deflate', 'Accept-Charset': 'utf-8, utf-8;q=0.5, *;q=0.5', 'Accept-Language': 'en', 'Host': 'localhost:8080', 'Cookie': 'JSESSIONID=22122D08CA61458843E641F86C8A6348', 'Connection': 'close'}",,benign,
GET,/tienda1/miembros/salir.jsp,http,"{'User-Agent': 'Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)', 'Pragma': 'no-cache', 'Cache-Control': 'no-cache', 'Accept': 'text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5', 'Accept-Encoding': 'x-gzip, x-deflate, gzip, deflate', 'Accept-Charset': 'utf-8, utf-8;q=0.5, *;q=0.5', 'Accept-Language': 'en', 'Host': 'localhost:8080', 'Cookie': 'JSESSIONID=FFE8C6D96DA367CC6FF879C9A3246ACD', 'Connection': 'close'}",,benign,
POST,/tienda1/publico/pagar.jsp,http,"{'User-Agent': 'Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)', 'Pragma': 'no-cache', 'Cache-Control': 'no-cache', 'Accept': 'text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5', 'Accept-Encoding': 'x-gzip, x-deflate, gzip, deflate', 'Accept-Charset': 'utf-8, utf-8;q=0.5, *;q=0.5', 'Accept-Language': 'en', 'Host': 'localhost:8080', 'Cookie': 'JSESSIONID=755025E000E412F7F51C15DF2C4698CE', 'Content-Type': 'application/x-www-form-urlencoded', 'Connection': 'Connection: close', 'Content-Length': 'Content-Length: 42'}",modo=insertar&precio=116&B1=Pasar+por+caja,benign,
GET,/tienda1/index.jsp,http,"{'User-Agent': 'Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)', 'Pragma': 'no-cache', 'Cache-Control': 'no-cache', 'Accept': 'text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5', 'Accept-Encoding': 'x-gzip, x-deflate, gzip, deflate', 'Accept-Charset': 'utf-8, utf-8;q=0.5, *;q=0.5', 'Accept-Language': 'en', 'Host': 'localhost:8080', 'Cookie': 'JSESSIONID=16895F8B19AB83F3DC9487B00AA2D9E3', 'Connection': 'close'}",,benign,
GET,/tienda1/global/estilos.css,http,"{'User-Agent': 'Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)', 'Pragma': 'no-cache', 'Cache-Control': 'no-cache', 'Accept': 'text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5', 'Accept-Encoding': 'x-gzip, x-deflate, gzip, deflate', 'Accept-Charset': 'utf-8, utf-8;q=0.5, *;q=0.5', 'Accept-Language': 'en', 'Host': 'localhost:8080', 'Cookie': 'JSESSIONID=638823B91FCA326D0D333ACBDD673C7E', 'Connection': 'close'}",,benign,
GET,/tienda1/miembros/salir.jsp,http,"{'User-Agent': 'Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)', 'Pragma': 'no-cache', 'Cache-Control': 'no-cache', 'Accept': 'text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5', 'Accept-Encoding': 'x-gzip, x-deflate, gzip, deflate', 'Accept-Charset': 'utf-8, utf-8;q=0.5, *;q=0.5', 'Accept-Language': 'en', 'Host': 'localhost:8080', 'Cookie': 'JSESSIONID=A364C7339E6D7275CAC3190D9198D98A', 'Connection': 'close'}",,benign,
POST,/tienda1/publico/entrar.jsp,http,"{'User-Agent': 'Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)', 'Pragma': 'no-cache', 'Cache-Control': 'no-cache', 'Accept': 'text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5', 'Accept-Encoding': 'x-gzip, x-deflate, gzip, deflate', 'Accept-Charset': 'utf-8, utf-8;q=0.5, *;q=0.5', 'Accept-Language': 'en', 'Host': 'localhost:8080', 'Cookie': 'JSESSIONID=8623E8AE78955FE62C8ED130D8D8BD93', 'Content-Type': 'application/x-www-form-urlencoded', 'Connection': 'Connection: close', 'Content-Length': 'Content-Length: 33'}",errorMsg=Credenciales+incorrectas,benign,
GET,/tienda1/publico/autenticar.jsp?modo=entrar&login=aylmar6&pwd=ringle_ra&remember=on&B1=Entrar,http,"{'User-Agent': 'Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)', 'Pragma': 'no-cache', 'Cache-Control': 'no-cache', 'Accept': 'text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5', 'Accept-Encoding': 'x-gzip, x-deflate, gzip, deflate', 'Accept-Charset': 'utf-8, utf-8;q=0.5, *;q=0.5', 'Accept-Language': 'en', 'Host': 'localhost:8080', 'Cookie': 'JSESSIONID=26982998F37BA0FF0A08156031DC62B2', 'Connection': 'close'}",,benign,
